dish_id,name,ingredient_count,source
dish_nom_muc_buoi,NỘM MỰC BƯỞI,9,mon_an_nguyen_lieu.xlsx
dish_nom_ngo_sen,NỘM NGÓ SEN,8,mon_an_nguyen_lieu.xlsx
dish_nom_qua_coc,NỘM QUÁ CÓC,12,mon_an_nguyen_lieu.xlsx
dish_nom_rau_muong,NỘM RAU MUỐNG,13,mon_an_nguyen_lieu.xlsx
dish_nom_su_su,NỘM SU SƯ,11,mon_an_nguyen_lieu.xlsx
dish_nom_u_du,NỘM ÐU ĐỦ,11,mon_an_nguyen_lieu.xlsx
dish_ruoc_ca,RUỐC CÁ,3,mon_an_nguyen_lieu.xlsx
dish_ruoc_tom,RUỐC TÔM,3,mon_an_nguyen_lieu.xlsx
dish_su_su_xao_trung,SU SU XÀO TRỨNG,9,mon_an_nguyen_lieu.xlsx
dish_su_su_ham_thit,SƯ SU HẦM THỊT,8,mon_an_nguyen_lieu.xlsx
dish_tom_bao_bot_trung_ran,TÔM BAO BỘT TRỨNG RÁN,12,mon_an_nguyen_lieu.xlsx
dish_tom_kho_tau,TÔM KHO TÀU,5,mon_an_nguyen_lieu.xlsx
dish_tom_rim,TÔM RIM,7,mon_an_nguyen_lieu.xlsx
dish_tom_ran_sot_ca_chua,TÔM RÁN SỐT CÀ CHUA,10,mon_an_nguyen_lieu.xlsx
dish_tom_xao_thap_cam,TÔM XÀO THẬP CÂM,17,mon_an_nguyen_lieu.xlsx
dish_dau_phu_hap_thit,ĐẬU PHỤ HẤP THỊT,7,mon_an_nguyen_lieu.xlsx
dish_dau_phu_hap_trung,ĐẬU PHỤ HẤP TRỨNG,7,mon_an_nguyen_lieu.xlsx
dish_dau_phu_kho_thit,ĐẬU PHỤ KHO THỊT,6,mon_an_nguyen_lieu.xlsx
dish_dau_phu_vien_ran,ĐẬU PHỤ VIÊN RÁN,9,mon_an_nguyen_lieu.xlsx
dish_dau_phu_xao_gia_thit,ĐẬU PHỤ XÀO GIÁ THỊT,5,mon_an_nguyen_lieu.xlsx
dish_dau_dua_xao_thit,ĐẬU ĐŨA XÀO THỊT,10,mon_an_nguyen_lieu.xlsx
dish_ech_boc_mo_chai_nuong,ẾCH BỌC MỠ CHÀI NƯỚNG,10,mon_an_nguyen_lieu.xlsx
dish_ech_hap_gan_ga,ẾCH HẤP GAN GÀ,9,mon_an_nguyen_lieu.xlsx
dish_ech_nau_cary,ẾCH NẤU CARY,13,mon_an_nguyen_lieu.xlsx
dish_ech_tam_bot_ran,ẾCH TẤM BỘT RÁN,12,mon_an_nguyen_lieu.xlsx
dish_ech_xao_dua,ẾCH XÀO DỨA,13,mon_an_nguyen_lieu.xlsx
dish_ech_xao_khe,ẾCH XÀO KHẾ,12,mon_an_nguyen_lieu.xlsx
dish_ech_xao_mien,ẾCH XÀO MIẾN,8,mon_an_nguyen_lieu.xlsx
dish_oc_nau_gia_ba_ba,ỐC NẤU GIẢ BA BA,14,mon_an_nguyen_lieu.xlsx
